component,Year 1 [EUR],Year 15 [EUR]
DA,4704142.200892992,3547706.22068464
aFRR capacity up,0.0,0.0
aFRR capacity down,0.0,0.0
aFRR activation up,0.0,0.0
aFRR activation down,0.0,0.0
TOTAL,4704142.200892992,3547706.22068464
