t,block_id,price_da_eur_mwh,q_ch_mw,q_dis_mw,soc_mwh,g_imp_mw,g_exp_mw,p_da_net_mw,p_afrr_up_mw,p_afrr_down_mw,price_act_up_eur_mwh,price_act_down_eur_mwh,price_cap_up_eur_mw_h,price_cap_down_eur_mw_h,solver_status,solve_time_s,objective_value
1,,0.1,30.0,0.0,36.119652,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2111.0672436000023,3547706.2206846536
2,,0.01,30.0,0.0,64.919652,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2111.0672436000023,3547706.2206846536
3,,0.0,3.8621739,0.0,68.627339,0.0,3.8621739,3.8621739,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2111.0672436000023,3547706.2206846536
4,,-0.01,0.0,0.0,68.627339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2111.0672436000023,3547706.2206846536
5,,-0.03,0.0,30.0,37.377339,30.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2111.0672436000023,3547706.2206846536
6,,-0.02,0.0,2.414759,34.861965,2.414759,0.0,-2.414759,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2111.0672436000023,3547706.2206846536
7,,-0.05,0.0,30.0,3.6119652,30.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2111.0672436000023,3547706.2206846536
8,,-0.02,0.0,0.0,3.6119652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2111.0672436000023,3547706.2206846536
9,,0.0,0.0,0.0,3.6119652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2111.0672436000023,3547706.2206846536
10,,0.04,0.0,0.0,3.6119652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2111.0672436000023,3547706.2206846536
11,,0.06,0.0,0.0,3.6119652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2111.0672436000023,3547706.2206846536
12,,0.54,0.0,0.0,3.6119652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2111.0672436000023,3547706.2206846536
13,,2.24,30.0,0.0,32.411965,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2111.0672436000023,3547706.2206846536
14,,1.97,2.5520833,0.0,34.861965,0.0,2.5520833,2.5520833,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2111.0672436000023,3547706.2206846536
15,,1.13,0.0,30.0,3.6119652,30.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2111.0672436000023,3547706.2206846536
16,,3.19,0.0,0.0,3.6119652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2111.0672436000023,3547706.2206846536
17,,40.0,0.0,0.0,3.6119652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2111.0672436000023,3547706.2206846536
18,,84.46,30.0,0.0,32.411965,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2111.0672436000023,3547706.2206846536
19,,61.74,30.0,0.0,61.211965,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2111.0672436000023,3547706.2206846536
