t,block_id,price_da_eur_mwh,q_ch_mw,q_dis_mw,soc_mwh,g_imp_mw,g_exp_mw,p_da_net_mw,p_afrr_up_mw,p_afrr_down_mw,price_act_up_eur_mwh,price_act_down_eur_mwh,price_cap_up_eur_mw_h,price_cap_down_eur_mw_h,solver_status,solve_time_s,objective_value
1,,0.1,30.0,0.0,41.329217,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
2,,0.01,30.0,0.0,70.129217,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
3,,0.0,8.7461413,0.0,78.525513,0.0,8.7461413,8.7461413,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
4,,-0.01,0.0,0.0,78.525513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
5,,-0.03,0.0,30.0,47.275513,30.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
6,,-0.02,0.0,11.416888,35.382922,11.416888,0.0,-11.416888,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
7,,-0.05,0.0,30.0,4.1329217,30.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
8,,-0.02,0.0,0.0,4.1329217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
9,,0.0,0.0,0.0,4.1329217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
10,,0.04,0.0,0.0,4.1329217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
11,,0.06,0.0,0.0,4.1329217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
12,,0.54,0.0,0.0,4.1329217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
13,,2.24,30.0,0.0,32.932922,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
14,,1.97,2.5520833,0.0,35.382922,0.0,2.5520833,2.5520833,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
15,,1.13,0.0,30.0,4.1329217,30.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
16,,3.19,0.0,0.0,4.1329217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
17,,40.0,0.0,0.0,4.1329217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
18,,84.46,30.0,0.0,32.932922,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
19,,61.74,30.0,0.0,61.732922,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
20,,61.27,0.0,11.527112,49.725513,11.527112,0.0,-11.527112,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
21,,59.97,30.0,0.0,78.525513,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
22,,54.92,0.0,0.0,78.525513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
23,,47.65,0.0,0.0,78.525513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
24,,35.55,0.0,0.0,78.525513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
25,,29.39,0.0,0.0,78.525513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
26,,19.6,0.0,27.648,49.725513,27.648,0.0,-27.648,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
27,,27.33,30.0,0.0,78.525513,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
28,,16.2,0.0,11.416888,66.632922,11.416888,0.0,-11.416888,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
29,,9.5,0.0,30.0,35.382922,30.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
30,,11.2,0.0,30.0,4.1329217,30.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
31,,44.43,0.0,0.0,4.1329217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
32,,56.56,0.0,0.0,4.1329217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
33,,64.28,30.0,0.0,32.932922,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
34,,66.12,0.0,27.648,4.1329217,27.648,0.0,-27.648,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
35,,70.6,0.0,0.0,4.1329217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
36,,78.8,0.0,0.0,4.1329217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
37,,99.9,30.0,0.0,32.932922,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
38,,102.5,0.0,11.527112,20.925513,11.527112,0.0,-11.527112,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
39,,110.6,30.0,0.0,49.725513,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
40,,105.7,30.0,0.0,78.525513,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
41,,100.7,0.0,27.648,49.725513,27.648,0.0,-27.648,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
42,,118.93,30.0,0.0,78.525513,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
43,,81.3,0.0,0.0,78.525513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
44,,70.1,0.0,27.648,49.725513,27.648,0.0,-27.648,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
45,,66.7,30.0,0.0,78.525513,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
46,,54.9,0.0,0.0,78.525513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
47,,53.18,0.0,27.648,49.725513,27.648,0.0,-27.648,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
48,,54.9,30.0,0.0,78.525513,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
49,,-0.39,0.0,0.0,78.525513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
50,,-1.61,0.0,30.0,47.275513,30.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
51,,-1.39,0.0,11.416888,35.382922,11.416888,0.0,-11.416888,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
52,,-1.31,0.0,0.0,35.382922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2182.104323899999,3884066.259736325
