t,block_id,price_da_eur_mwh,q_ch_mw,q_dis_mw,soc_mwh,g_imp_mw,g_exp_mw,p_da_net_mw,p_afrr_up_mw,p_afrr_down_mw,price_act_up_eur_mwh,price_act_down_eur_mwh,price_cap_up_eur_mw_h,price_cap_down_eur_mw_h,solver_status,solve_time_s,objective_value
1,,0.1,30.0,0.0,37.101685,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
2,,0.01,30.0,0.0,65.901685,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
3,,0.0,4.7828299,0.0,70.493202,0.0,4.7828299,4.7828299,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
4,,-0.01,0.0,0.0,70.493202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
5,,-0.03,0.0,30.0,39.243202,30.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
6,,-0.02,0.0,4.111712,34.960169,4.111712,0.0,-4.111712,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
7,,-0.05,0.0,30.0,3.7101685,30.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
8,,-0.02,0.0,0.0,3.7101685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
9,,0.0,0.0,0.0,3.7101685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
10,,0.04,0.0,0.0,3.7101685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
11,,0.06,0.0,0.0,3.7101685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
12,,0.54,0.0,0.0,3.7101685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
13,,2.24,30.0,0.0,32.510169,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
14,,1.97,2.5520833,0.0,34.960169,0.0,2.5520833,2.5520833,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
15,,1.13,0.0,30.0,3.7101685,30.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
16,,3.19,0.0,0.0,3.7101685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
17,,40.0,0.0,0.0,3.7101685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
18,,84.46,30.0,0.0,32.510169,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
19,,61.74,30.0,0.0,61.310169,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
20,,61.27,0.0,18.832288,41.693202,18.832288,0.0,-18.832288,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
21,,59.97,30.0,0.0,70.493202,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
22,,54.92,0.0,0.0,70.493202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
23,,47.65,0.0,0.0,70.493202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
24,,35.55,0.0,0.0,70.493202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
25,,29.39,0.0,0.0,70.493202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
26,,19.6,0.0,27.648,41.693202,27.648,0.0,-27.648,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
27,,27.33,30.0,0.0,70.493202,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
28,,16.2,0.0,4.111712,66.210169,4.111712,0.0,-4.111712,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
29,,9.5,0.0,30.0,34.960169,30.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
30,,11.2,0.0,30.0,3.7101685,30.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
31,,44.43,0.0,0.0,3.7101685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
32,,56.56,0.0,0.0,3.7101685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
33,,64.28,30.0,0.0,32.510169,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
34,,66.12,0.0,27.648,3.7101685,27.648,0.0,-27.648,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
35,,70.6,0.0,0.0,3.7101685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
36,,78.8,0.0,0.0,3.7101685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
37,,99.9,30.0,0.0,32.510169,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
38,,102.5,0.0,18.832288,12.893202,18.832288,0.0,-18.832288,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
39,,110.6,30.0,0.0,41.693202,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Optimal,2746.891438999999,3610935.948334348
