scenario,npv_eur,lcos_eur_per_mwh,capex_total_eur,year1,year1_rev_total_eur,year1_rev_da_eur,year1_rev_afrr_cap_up_eur,year1_rev_afrr_cap_down_eur,year1_rev_afrr_act_up_eur,year1_rev_afrr_act_down_eur
base_2023,65146008.14210022,96.62084779947944,13800000.0,1,9378865.89737456,2625355.739710694,4156267.538492511,2250943.3360850173,301315.3013187391,44983.9817675965
base_2023_da_only,15381876.9116624,28.765127117999285,13800000.0,1,4704142.200892992,4704142.200892992,0.0,0.0,0.0,0.0
