scenario,npv_eur,lcos_eur_per_mwh,capex_total_eur,total_throughput_mwh,total_degradation_cost_eur,total_opex_eur,avg_degradation_cost_per_mwh_eur
base_2023,65146008.14210022,96.62084779947944,13800000.0,328281.43165586004,984844.29496758,9696407.1582793,2.9999999999999996
base_2023_da_only,15381876.9116624,28.765127117999285,13800000.0,1277621.5818582708,3832864.745574813,14443107.909291357,3.0000000000000004
