component,Year 1 [EUR],Year 15 [EUR]
DA,2625355.739710694,1941960.4204738224
aFRR capacity up,4156267.538492511,4758047.72804965
aFRR capacity down,2250943.3360850173,2163040.741272119
aFRR activation up,301315.3013187391,336574.3531932075
aFRR activation down,44983.9817675965,37626.817732307005
TOTAL,9378865.89737456,9237250.060721103
