year,status,pulp_status_code,result_status,solve_time_s,objective_value,time_limit_s
1,Optimal,1,1,3634.836601099989,10153018.605940323,3600.0
2,Optimal,1,1,3667.187450199999,10250523.015645524,3600.0
3,Optimal,1,1,3754.3536973000155,10124690.083258728,3600.0
4,Optimal,1,1,3832.6278177999775,9249802.014242552,3600.0
5,Optimal,1,1,4137.667650100018,9260863.743554808,3600.0
