rev_da_eur,rev_afrr_cap_up_eur,rev_afrr_cap_down_eur,rev_afrr_act_up_eur,rev_afrr_act_down_eur,rev_total_eur,throughput_mwh,objective_value,year,soh_frac
2513646.654760725,5740555.923788964,1573360.263021305,391195.9873483948,13773.623062929202,10232532.451982317,129556.82638772999,11090186.429811427,1,0.9221529240000002
3075286.3132432634,4237220.438506812,2212064.0131697096,304650.99579888297,26665.462751243474,9855887.22346991,128264.948249387,10609287.323398098,2,0.882232884
2400737.9743161555,5849758.640578676,1524857.9710719748,395999.87948458386,11740.221204727455,10183094.68665612,129518.37458470499,11047800.988217967,3,0.8497978515000001
2352369.794464926,5820990.686462116,1577552.9612494253,394307.2377686624,14294.424286337331,10159515.10423147,129508.01705272999,11026975.694893364,4,0.8212550229
2880321.8442759793,4293725.093092343,2253040.5214001597,306783.7281200893,27710.644259728226,9761581.831148298,128141.06404749499,10526166.272565,5,0.7955065970999999
2254866.7452108487,5850415.830885472,1597767.7368513488,399455.33762266726,14420.021852754006,10116925.67242309,129490.017887555,10990487.775364824,6,0.7716543732
2219350.7785712546,5900232.508496174,1585561.3420728315,401264.5011438894,12129.644513078209,10118538.774797227,129481.90563583001,10996226.330083588,7,0.7492991508
2184600.7681813138,5886364.844536137,1590779.616085138,400578.58549124945,10519.077346578259,10072842.891640415,129654.26415427998,10949314.238234106,8,0.7282413296999999
2143506.5041527664,5913654.622739166,1579338.7960584387,402826.51254164125,12772.497945483334,10052098.933437496,129466.94864808001,10930831.425226776,9,0.7080817095
2102509.591626411,5965943.716481963,1568361.6017432357,404823.40660266194,12473.75319055698,10054112.06964483,129459.95910283,10937623.454802047,10,0.6888202902
2069337.4792391658,5952999.705599487,1587004.491529498,403507.5275731276,11142.117467307526,10023991.321408587,129453.22307789998,10907841.748196186,11,0.6702574715999999
2048582.58955824,5905614.755430438,1610765.6357693092,401167.3822362036,14159.398473115218,9980289.761467306,129446.74043295,10861590.557230473,12,0.6523932537
2001091.5313128927,6008324.995107684,1583503.2146449585,407891.5257867904,11983.259681102536,10012794.526533429,129440.47515371002,10902983.746244727,13,0.6351278364
1968044.697021199,6011731.309730325,1596502.8672858004,408704.0817294532,11515.239324798602,9996498.195091577,129434.39094637,10888548.58216054,14,0.6183614196
1943073.433504167,6021095.836710507,1592352.9439805378,408893.4643167603,8807.43993766315,9974223.118449636,129428.45165218,10866573.082112059,15,0.6019942032
